gen cycle viol
0 7.6589 1.105
1 8.7855 0.5022
2 9.1187 0.1418
3 9.4428 0.043
4 9.2234 0.0075
5 8.7897 0.0028
6 8.3197 0.0008
7 8.0159 0.0
8 7.701 0.0
9 7.3875 0.0
10 7.1834 0.0
11 6.9807 0.0
12 6.805 0.0
13 6.6337 0.0
14 6.5154 0.0
15 6.4099 0.0
16 6.3621 0.0
17 6.2942 0.0
18 6.2166 0.0
19 6.1572 0.0
20 6.0952 0.0
21 6.0555 0.0
22 6.0282 0.0
23 5.9935 0.0
24 5.96 0.0
25 5.9208 0.0
26 5.884 0.0
27 5.8538 0.0
28 5.8244 0.0
29 5.7977 0.0
30 5.7892 0.0
31 5.7681 0.0
32 5.7484 0.0
33 5.7312 0.0
34 5.724 0.0
35 5.7026 0.0
36 5.6767 0.0
37 5.6776 0.0
38 5.6537 0.0
39 5.6454 0.0
40 5.6172 0.0
41 5.6068 0.0
42 5.5903 0.0
43 5.5845 0.0
44 5.5546 0.0
45 5.5419 0.0
46 5.5389 0.0
47 5.5154 0.0
48 5.5057 0.0
49 5.4939 0.0
50 5.487 0.0
51 5.4818 0.0
52 5.4607 0.0
53 5.4544 0.0
54 5.4295 0.0
55 5.4364 0.0
56 5.4227 0.0
57 5.4226 0.0
58 5.4222 0.0
59 5.4311 0.0
60 5.4085 0.0
61 5.4194 0.0
62 5.3905 0.0
63 5.3808 0.0
64 5.3692 0.0
65 5.3714 0.0
66 5.3672 0.0
67 5.3685 0.0
68 5.3657 0.0
69 5.3427 0.0
70 5.3446 0.0
71 5.3574 0.0
72 5.352 0.0
73 5.3354 0.0
74 5.3469 0.0
75 5.3228 0.0
76 5.3074 0.0
77 5.3065 0.0
78 5.298 0.0
79 5.3139 0.0
80 5.3014 0.0
81 5.3033 0.0
82 5.2921 0.0
83 5.2907 0.0
84 5.2878 0.0
85 5.2828 0.0
86 5.271 0.0
87 5.267 0.0
88 5.2678 0.0
89 5.2667 0.0
90 5.2533 0.0
91 5.2574 0.0
92 5.2458 0.0
93 5.229 0.0
94 5.2424 0.0
95 5.2362 0.0
96 5.2252 0.0
97 5.211 0.0
98 5.203 0.0
99 5.2032 0.0
100 5.2246 0.0
101 5.2184 0.0
102 5.2057 0.0
103 5.196 0.0
104 5.1873 0.0
105 5.2075 0.0
106 5.1993 0.0
107 5.1951 0.0
108 5.1989 0.0
109 5.1909 0.0
110 5.1883 0.0
111 5.1911 0.0
112 5.1787 0.0
113 5.1654 0.0
114 5.1676 0.0
115 5.1829 0.0
116 5.1913 0.0
117 5.1967 0.0
118 5.1696 0.0
119 5.1639 0.0
